총점,회사,날짜,별점,요약,장점,단점,경영진에게
3.0,테라셈(주),2022. 09,3점,"""아직 회사가 유지되고 있는지 모르겠음""","퇴사한지 오래되었으나, 당시에는 새로운 사업을 위해 많은 노력을 했음","새로운 사업을 위해 노력했으나 방향성에 아쉬움이 있음
당시 오창본사와 신사업연구소 협업이 조금 아쉬웠음",지금은 회사 상황이 어떤지 모르기 때문에 특별히 바라는 점 없음
3.0,테라셈(주),2022. 07,5점,"""안타까운 기업.. 명성을 잃어버린 기업.. 많은것을 경험할 수 있고 아주 많은 인생경험을 할 수 있는 기업..""",예전 경영진은 괜찮았는데..지금은 폭망.. 다양한 사업망을 구축해서 많은 분야 경험은 가능하다,잦은 임원직 변경.. 관계되어 있는 회사도 불투명 사업결과를 이제는 믿을 수 없다.. 잘 될거라고 말한다,과연 직원들을 생각하면서 경영을 하시는 것인지 안타깝습니다
3.0,테라셈(주),2022. 02,1점,"""기업 워크아웃 상태에서 모든 임직원이 노력하여 코스닥 상장까지 이루어낸
회사로 이미지 센서 패키징 후 공정 업체""",365일 24시간 불이 꺼지지 않게 일하는 곳으로 모든분들이 열심히 일하는 기업,이미지 센서 패키징 사업이 새로운 기술과 중국 현지 생산으로 현재는 매우 하락세를 보임,"현재 경영진은 M&A를 통한 인수합병으로 들어온 분들이나 기존 사업에 대한 지속에 관심
이 없고 또다른 이윤만 창출하려고 함"
3.0,테라셈(주),2021. 11,3점,"""상장시에는 추천할만한 좋은 기업, 지금 쇠퇴하는 기업.""",경영목표를 정하고 초과 달성시에는 이윤을 임직원에게 성과급으로 지급합니다.,경영상황 악화로 현재는 쇠퇴의 길을 가고 있습니다. 독단적인 의사결정이 쇠퇴의 길을 재촉합니다.,경연진과 직원간의 적극적인 소통이 필요합니다. 외부의 말이 아닌 내부의 말에도 좀더 귀 기울여 주시길 바랍니다.
3.0,테라셈(주),2021. 07,4점,"""반도체 기업으로 근무 시설이 깔끔하여 좋았습니다.""",반도체 제조로 편안하고 꽤적한 환경에서 근무 할 수 있었습니다.,"제조직의 특성상 정년이 보장되지 않는 느낌이며, 제가 근무할때는 금연자를 모집하였음","알바에게도 회사 기념 선물을 주는 등의 복지가 좋았으며, 이를 상승 및 유지"
3.0,테라셈(주),2022. 09,3점,"""아직 회사가 유지되고 있는지 모르겠음""","퇴사한지 오래되었으나, 당시에는 새로운 사업을 위해 많은 노력을 했음","새로운 사업을 위해 노력했으나 방향성에 아쉬움이 있음
당시 오창본사와 신사업연구소 협업이 조금 아쉬웠음",지금은 회사 상황이 어떤지 모르기 때문에 특별히 바라는 점 없음
3.0,테라셈(주),2022. 07,5점,"""안타까운 기업.. 명성을 잃어버린 기업.. 많은것을 경험할 수 있고 아주 많은 인생경험을 할 수 있는 기업..""",예전 경영진은 괜찮았는데..지금은 폭망.. 다양한 사업망을 구축해서 많은 분야 경험은 가능하다,잦은 임원직 변경.. 관계되어 있는 회사도 불투명 사업결과를 이제는 믿을 수 없다.. 잘 될거라고 말한다,과연 직원들을 생각하면서 경영을 하시는 것인지 안타깝습니다
3.0,테라셈(주),2022. 02,1점,"""기업 워크아웃 상태에서 모든 임직원이 노력하여 코스닥 상장까지 이루어낸
회사로 이미지 센서 패키징 후 공정 업체""",365일 24시간 불이 꺼지지 않게 일하는 곳으로 모든분들이 열심히 일하는 기업,이미지 센서 패키징 사업이 새로운 기술과 중국 현지 생산으로 현재는 매우 하락세를 보임,"현재 경영진은 M&A를 통한 인수합병으로 들어온 분들이나 기존 사업에 대한 지속에 관심
이 없고 또다른 이윤만 창출하려고 함"
3.0,테라셈(주),2021. 11,3점,"""상장시에는 추천할만한 좋은 기업, 지금 쇠퇴하는 기업.""",경영목표를 정하고 초과 달성시에는 이윤을 임직원에게 성과급으로 지급합니다.,경영상황 악화로 현재는 쇠퇴의 길을 가고 있습니다. 독단적인 의사결정이 쇠퇴의 길을 재촉합니다.,경연진과 직원간의 적극적인 소통이 필요합니다. 외부의 말이 아닌 내부의 말에도 좀더 귀 기울여 주시길 바랍니다.
3.0,테라셈(주),2021. 07,4점,"""반도체 기업으로 근무 시설이 깔끔하여 좋았습니다.""",반도체 제조로 편안하고 꽤적한 환경에서 근무 할 수 있었습니다.,"제조직의 특성상 정년이 보장되지 않는 느낌이며, 제가 근무할때는 금연자를 모집하였음","알바에게도 회사 기념 선물을 주는 등의 복지가 좋았으며, 이를 상승 및 유지"
3.0,테라셈(주),2022. 09,3점,"""아직 회사가 유지되고 있는지 모르겠음""","퇴사한지 오래되었으나, 당시에는 새로운 사업을 위해 많은 노력을 했음","새로운 사업을 위해 노력했으나 방향성에 아쉬움이 있음
당시 오창본사와 신사업연구소 협업이 조금 아쉬웠음",지금은 회사 상황이 어떤지 모르기 때문에 특별히 바라는 점 없음
3.0,테라셈(주),2022. 07,5점,"""안타까운 기업.. 명성을 잃어버린 기업.. 많은것을 경험할 수 있고 아주 많은 인생경험을 할 수 있는 기업..""",예전 경영진은 괜찮았는데..지금은 폭망.. 다양한 사업망을 구축해서 많은 분야 경험은 가능하다,잦은 임원직 변경.. 관계되어 있는 회사도 불투명 사업결과를 이제는 믿을 수 없다.. 잘 될거라고 말한다,과연 직원들을 생각하면서 경영을 하시는 것인지 안타깝습니다
3.0,테라셈(주),2022. 02,1점,"""기업 워크아웃 상태에서 모든 임직원이 노력하여 코스닥 상장까지 이루어낸
회사로 이미지 센서 패키징 후 공정 업체""",365일 24시간 불이 꺼지지 않게 일하는 곳으로 모든분들이 열심히 일하는 기업,이미지 센서 패키징 사업이 새로운 기술과 중국 현지 생산으로 현재는 매우 하락세를 보임,"현재 경영진은 M&A를 통한 인수합병으로 들어온 분들이나 기존 사업에 대한 지속에 관심
이 없고 또다른 이윤만 창출하려고 함"
3.0,테라셈(주),2021. 11,3점,"""상장시에는 추천할만한 좋은 기업, 지금 쇠퇴하는 기업.""",경영목표를 정하고 초과 달성시에는 이윤을 임직원에게 성과급으로 지급합니다.,경영상황 악화로 현재는 쇠퇴의 길을 가고 있습니다. 독단적인 의사결정이 쇠퇴의 길을 재촉합니다.,경연진과 직원간의 적극적인 소통이 필요합니다. 외부의 말이 아닌 내부의 말에도 좀더 귀 기울여 주시길 바랍니다.
3.0,테라셈(주),2021. 07,4점,"""반도체 기업으로 근무 시설이 깔끔하여 좋았습니다.""",반도체 제조로 편안하고 꽤적한 환경에서 근무 할 수 있었습니다.,"제조직의 특성상 정년이 보장되지 않는 느낌이며, 제가 근무할때는 금연자를 모집하였음","알바에게도 회사 기념 선물을 주는 등의 복지가 좋았으며, 이를 상승 및 유지"
