총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.4,램테크놀러지(주),2022. 08,5점,"""1. 불산 관련 제품들을 파는 회사다. sk하이닉스가 주고객임// 2차전지 쪽이나 여러 분야도 같이 하고있음
2. 올해 초, 팀장과 연구소장 사업부 사장이 바뀌면서 새로운 바람이 불고있음
3. 자유롭게 의견 제시하는편이고 팀장, 연구소장의 수용력도 좋아 초년생들한테 부담이 적을듯
4. 반도체공정에 대한 기본적인 지식과 화학,실험 쪽에 어느 한 특출난 점이 있다면 지원해볼만하다.""","1. 최근 대졸초봉이 300 올라 꽤 괜찮은 급여수준으로 바뀜
2. 기존 수습기간 때 월급의 70% 받던게 이제 100%로 변경
3. 식비 소폭 상승
4. 올해 좋은 매출로 상반기 ps, pi 지급 (연구소는 +연구수당) 하반기도 기대해볼만할듯
5. 진행하고 싶은 연구 item이 있으면 적극적으로 반영해줌
6. 창의적 활동을 중요시 해 작은 독서 모임이 있으나 참여 여부는 본인 자유다.
7. 괜찮은 워라밸 연차사용자유
8. 야근은 본인 자유, 야근 강요 X 야근수당O
9. 회사내부에 1인1실 기숙사, 헬스장, 탁구장
10. 흡연 시간 자유
11.여성전용 기숙사는 외부에 따로 제공
12. 안정적이고 고정적인 매출에도 불구하고 결정권자들이 신사업에 상당히 관심이 많음. 지원도 부족함이 없기 때문에 본인이 주도적으로 하고싶은게 있고 능력이 있다면 자신의 역량을 펼치기 나쁘지않음
13. 연구소는 기흥역 쪽으로 몇 년 내로 이사예정
14. 팀내에 꼰대도 없고 꼰대 문화도 없음 다른 팀은 모르겠음
15.회식도 딱히 없다. 하고싶으면 자기들끼리함
16.임원들이 타던 차 중고로 싸게 직원들에게 팜.","1. 대졸초봉이 3000중반이 넘지만 아직 부족함
2. 업무역량에 따라 수습평가기간(3개월) 내에 고용취소가 될 수 있음. 왠만하면 합격임
3. 아직 부족한 식비. 국밥 한 그릇 사먹을정도인데 더 지원해줬으면 함
4. ps pi 지급도 회장의 입김이 너무 강하다. 회장의 말이 아닌 시스템으로 일관되게 굴러가야한다고 생각
5. 하고싶은 연구는 자유롭게 진행할 수 있는 편이나 매달해야하는 서류작업이 다소 있다.
6. 업무시간에 책읽기는 좀 그렇다
7. 하지만 주말당직이 있어 3달에 한번정도는 토요일에 잠시 근무해야한다
8. 10시반전에는 야근 끝내는게 국룰 근데 야근 하는 사람이 거의 없다
9. 그렇게 좋은 기숙사는 아님
10. 외지라 자차가 없으면 출퇴근이 거의 불가능하다
11. 기흥역 이사를 정확히 언제갈지 불분명
12. 매달 한번 회장앞에서 보고하는 자리가있다. ppt 잘하면 좋음","본사 당직은 없애는게 맞습니다. 공평이 명분인가요

그렇다면 식사, 교통 문제 등도 평등하게 해결하는게 맞겠죠?

회사 홈페이지도 리뉴얼 하셨으면 하고 그룹웨어 다들 불편한점이 한둘이 아닐텐데 바꾸세요. 스케쥴 관리 업무내용관리를 그룹웨어 대신 외부 툴 쓰는 인원이 대다수입니다 결재도 따로 첨부해서 올리고 등등 이런 불편함을 어쩔수 없지 라고 넘기는게 구시대적 사고 즉 꼰대 입니다

1층 차양막에서 물새는것도 고치시고 천장 석고보드도 바꾸시는게 좋아보입니다

채용 프로세스도 홈페이지에서 진행할 수 있게 바꾸시고 이런것들 하나하나 바꿔가야 좋은 인재들이 몰려들게 할 수 있는 회사가 되는겁니다. 20대들이 지원하고싶어하는 회사를 만드시기를. 그리고 그런 아이디어들은 사원주임급들한테 적극적으로 물어보시구요

좋은기억이 많아서 여기서라도 적고갑니다

여튼 올해 좋은 매출이 나온만큼 직원 복지에 더 투자하고 특히 연구인력에 많은 투자하시기를.

많이 배웠습니다."
2.4,램테크놀러지(주),2021. 12,2점,"""자신이 노력한 만큼 대우 받을 수 있는 기회가 주어지는 회사입니다.""","연차를 자유롭게 쓸수 있습니다. 또한, 휴게시간 충분히 보장해주고 기숙사도 제공해줍니다.","연봉에 비해 업무량이 과도하게 많아 부담감이 큼, 복지제도가 타 회사에 비해 부족한거 같다.",직원들의 불만 및 개선 사항을 수렴하여 적절한 제도와 보상 체계를 만들어 줬으면 좋겠습니다.
2.4,램테크놀러지(주),2021. 12,1점,"""최악중에 최악의 회사
업무의 주가 문서 작성 , 복지 없음 , 상장한 소기업 임원만 많은 회사 위치 차 없으면 못다님
평일 당직 주말 당직 존재 당직비 기본급(최저임금수준)""",좋은점 하나 본인이 지각을 자주하여 출퇴근시간 가지고 뭐라고 안하며 늦을거 같으면 출근 안하고 반반차 사용,"입사 후 수습 3개월 ( 급여 70% )
계약서 보고 계약하지 말것
수습기간 만료 퇴사시 개인사정으로 인한 퇴사 처리 하여 실업급여 못받게 막음 담당자 근로기준법 1도 모름.. 언제적 근로 기준법을 가지고 근무하는지 모르겠음 심지어 청년 소득세 감면 규정도 모름..
근로 기준법 공부 시급
뭐 하나 사는데 품의서 작성만 하루종일함 업무의 주가 뭔지 모름 연구면 관련자료 서치해서 실험진행을 해야하는데 보고서 작성만 하루종일
팀장: 일을 시키고 계속 말바꿈 욕 입에 달고 지냄
3개월 최저임금 받고 일하고싶으면 들어가고 자기발전하고싶으면 절대 들어가지마라
팀장이란 지가 지 회사에 대한 불평 불만 많음
하는말이 밥은 겁나 맛없으며 회사위치도 시골에 있고 기숙사도 안좋아서 누가 오겠냐 기획팀은 주가 홍보도 안하고 뭐하냐 차라리 유튜버를 고용하고 홍보해서 주가관리 해야한다 , 부사장은 앉아서 출퇴근 지문찍는 시간이나 보고 청소나 하라고 하는 일이 뭔지 모르겠다 회장은 맨날 쓸때 없는거 찾으라고 하며 회장이 시킨 잡일이 많다
사람들 뒷담 이간질 팀원욕 답답하다고 직급이 달면 어느정도 일을 수행을 해야 하는데 못한다 , 사원 하루종일 뭐하는지 모르겠다 분석업무 시킬거다",임원만 많고 불 필요한 사람만 많은 회사 필요한 사람만 있어도 잘 돌아갈거 같다
2.4,램테크놀러지(주),2021. 11,1점,"""반도체 1차벤더의 장점을 더 큰 단점으로 커버하는 회사""",국내 반도체 대기업 1차벤더사라 큰 사고가 있지 않는 이상 망할 일은 없음.,"퇴사당시 직원수 70명이였던 회사에 임원이 15명이었음. 비전을 제시하는 임원은 극소수이며, 오너의 친지로 구성된 대부분의 임원들은 차~부장급의 실무를 수행함. 임원용 차량제공 등 특전이 많아 지출이 과다하지만, 악화된 수익성을 직원들 복지축소, 인원 미충원 등의 방법으로 커버. 이로 인해 대부분의 부서에서 만성적인 인력난에 시달리며 특히 현장은 주야간 할것없이 갈린다고 보면 된다. 성과에 따른 보상체계가 전혀 없어 최대한 일을 안하고 돈타가는게 미덕인 분위기며, 교육체계도 갖춰져 있지 않아 신입 업무능력 향상이 매우 더딤. 심각한 역피라미드 구조의 회사.","지금은 좀 나아졌는지 모르겠음. 하지만 사업 몇년 더하고 말것 아니면 오너가 읍참마속의 심정으로 성과없는 임원진 쳐내고 인사제도 재정비해야함. 회사 규모가 10년째 제자리걸음인데, 이 산업에선 멈춰서있는거 자체가 도태아닌가. 왜 대기업에선 성과없는 임원 목숨을 파리취급하고 직원 교육에 많은 금액을 투자하는지 생각해보시길.. 고인물만으로는 해쳐나갈 수 없는 위기가 분명히 옵니다."
2.4,램테크놀러지(주),2021. 10,1점,"""여러가지 제품을 만드는 회사 특히 위험한것이 많음""","공장부지가 회사 소유이며 기숙사가 회사내에 존재함
똑똑한사람이 많음","기숙사가 내부에 존재해서 차없이는 힘듦
임원진이 많고 초창기 멤버가 주요보직에 있음","급여를 중소기업평균치만큼 줘야
안전에 투자 함이.."
2.4,램테크놀러지(주),2021. 07,3점,"""보편적인 중소기업
소재지 특성 상 대중교통 이용불편""","연차 자유롭게 사용
출퇴근 시간 강요없음
외근식대 나옴
야근식대 나옴
법정 휴일, 국가 권고 다 지킴","연봉 낮은편
임원 많음
실무자 적음
교통불편
복지 적음","자녀 학자금, 자기 개발비, 자격수당 등 지원
연봉 개선"
2.4,램테크놀러지(주),2021. 06,3점,"""몸은 편하지만 마음은 편하지 않은 회사""",월급과 상여금 밀린적 없음. 장점 30자 채우기 어렵습니다.,"쓸데없는 보고서 작성 및 업무에 불필요한 것들을 많이 함
직원의 복지를 자꾸 줄이려고 함.","직원위 불만은 듣고 모른척 하지마시고 적극적으로 들어주세요
새로운 생각이 필요한 것 같습니다. 원래대로, 하던대로 말고 새로운 생각 등 직원들에게 많이 물어보고 정해주세요. 제발 복지 좀 늘려주세요"
2.4,램테크놀러지(주),2021. 04,1점,"""월급은 밀린적 없고 잘나오지만 비전이 없고 발전가능성이 없는 회사""","1. 월급 밀린적없음 따박따박 잘나옴
2. 단순반복적인 일 누구나 할수있음
3. 주차할곳이 꽤 넓음
4. 출퇴근 피로도 없음
5. 사고만안치면 가만히있어도 승진시켜줌
6. 금산에서는 나름 높은 연봉
7. 워라밸 보장 ,칼퇴근 가능
8. 계절에 맞는 작업복 지원 ( 계절별로 작업복 다양하게 줌.겨울엔 패딩도 줌)
9. 연차사용 자유로움","1. 단순반복적인 일때문에 회사 그리고 개인발전 가능성 제로
2. 임원들이 쓸데없이 많음 임원 감투 달고 일 안함 빈둥빈둥 한량인줄 업무시간에 코골고 자는것도 봄
3. 주위를 둘러봐도 논밭밖에 없음 공기는 좋을듯
4. 고인물들이 너무많아 발전 가능성이 없음
5. 공과사 구분안함 ,직급따위 개나줘버림 서로 아무리 서로 친해도 과장이랑 주임이랑 야야 거림, 그리고 현장에 가보면 행님행님 거림 듣기 싫어죽는줄
6. 복지가 단 1개도 없음
7. 회사 위치가 답이없음 주변에 논밭밖에없고 편의점이라도 갈려면 차타고 10분을 나가야함 그나마 대전이랑은 가까워서 다행인듯
8. 화학공장 특성상 위험성이 엄청높음 화학사고도 몇번 났음","퇴사해서 미련은없지만 복지라는게 있었으면 더 좋지않았을까생각함
그리고 쓸데없는 임원들을 그만 만들었으면 하는바람
일하는사람은 별로없고 임원이라고 감투차고 일도안하고 띵가띵가 돌아댕기는데 회사가 발전하겠습니까"
2.4,램테크놀러지(주),2021. 02,5점,"""대학졸업하고 직무경험하기 좋은 회사라 할수 있다

다양한 연령대로 구성되어 있으며

많고 많은 경험을 할수 있다.""","연차 자유 .
연차 자유 ..
연차는 눈치 없이 쓸수 있으며 다양한 경험을 할수 있다.","자기 자신에 직무 외 다양한 경험을 할수 있다 .

고인물이 많다 할수 있겟다... 새로운물이여도

고인물 처럼 행동하는 사람도 있다.","좋습니다. 지금처럼만 ~
그래도 작업자에 입장에서 생각해주시고 많은
격려와 현장 개선사항에 꾸준히 들여다 봐주셨으면 합니다.
잘못하면 훅가니까.."
2.4,램테크놀러지(주),2020. 12,3점,"""법을 잘 지키는 회사, 부당한 일을 당하는 일은 거의 없다. 먹고 살만하다. 나쁘지 않다.""","법규를 굉장히 준수하기 때문에 때론 피곤하지만, 보호도 많이 받습니다. 부서별 전문 분야가 다르고 담당 업무외에 잡일에 동원되는 일은 겨울에 눈 많이 올 때 말곤 거의 없습니다.",화학물질을 다루는 회사이기 현장직들은 안전에 상당의 유의 하여야 합니다. 반도체 소재쪽은 위험물질을 많이 다루기에 안전에 반드시 신경써서 일해야 합니다. 안전 장구는 물론 지급 됩니다. 사람으로 인한 스트레스는 어디를 가도 마찬가지라 쓰지 않겠습니다.,사원들이 자기개발을 할 수 있도록 좀더 신경 써주면 좋겠습니다. 회사 위치가 외각이다 보니 자기개발 하기가 어려운데 회사에서 더 신경 써 주세요.
