총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.6,손오공(주),2022. 09,1점,"""업력이 오래된 탄탄한 중소기업이지만, 복지 및 급여가 낮아요.""","지하 구내식당에서 점심 제공됩니다.
생일자에게 10만원 상품권을 줍니다.","연봉이 낮은편입니다.
어린이날, 크리스마스 등 행사에 직원들이 투입됩니다. 심지어 주말인 경우도 있습니다.",합리적은 복지 및 보상체계를 마련해 줬으면 합니다.
2.6,손오공(주),2022. 08,3점,"""그냥 저냥 아무생각없이 다니기엔 왠만한 중소기어보다는 났다""","연차수당, 휴일근로에대한 보상등 당연한데 안주는 이런 기본적인건 함",사양산업과 아이템부재 그리고 투자를 안하는 꽤나 고인물회사,이렇게라도 유지하면서 회사 지속하는것도 능력이고 높게 삽니다
2.6,손오공(주),2022. 08,2점,"""완구업계에서 손오공은 규모가 있는 회사지만 초이락과 분리됨""","장점은 네임벨류고, 온수역곡 사이에 사옥이있어 지하식당",완구제조회사가아닌 유통회사로 한계가 분명하다. 개발부서는 초이락에있다,경영진에 바라는 건 없는 것같다. 팀원들끼리 재밌게 다녔다
2.6,손오공(주),2022. 07,2점,"""연봉이.. 중소기업이라 해도 이 정도는 너무 심각한 게 아닌가 싶은.. 지금은 어떨 지 모름. 나도 거진 10년 전에 일했던 기업이라""",워라밸이 좋아서 결혼한 여자들에게는 괜찮은 직장 같았어요.,그런데 연봉 상승률 면에서나 매출이 급등할 때도 보너스는 안주느니만 못한 수준이었어서..,글쎄 뭐 이제와서.. 앞으로도 크게 변함 없을텐데 뭘 바라나요.
2.6,손오공(주),2022. 06,3점,"""같이 근무하는 사람들은 정말 좋습니다. 하지만 업무 강도에 비해 대우는 부족합니다.""","연차를 눈치안보고 사용 가능.
점심 제공.주차장 구비 등 직원들 편의와 관련된 사항들은 장점이 많음","업무 강도에 비해 연봉 및 기타 처우가 매우 부족함
성과금 및 추가 수당이 없으며 오직 급여만 제공됨.
어린이날 / 크리스마스 때 매장 점포 지원을 필히 나가야 함
직급 부여도 다른 회사 기준으로 매우 짬","직원들의 복지 향상이 필요합니다.
복지제도도 하나도 없습니다. 더 필요할듯"
2.6,손오공(주),2022. 05,2점,"""연봉 욕심없이 무위자연 하기에 적합한 회사
단, 상사복이 있어야 함.""","야근식대 지원
완구 구매시 직원할인
점심 구내식당
업무 강도가 높지 않음","연봉이 매우 낮음.
변두리에 위치해 교통편 매우 불편
전반적으로 직원들의 수준이 하향 평준화 되어 있음.",앞에서 아부하는 직원들 말만 듣지 말고 자기 맡은 일 열심히 하는 직원들도 챙겨주세요. 직원들에게 제발 좀 베풀길.
2.6,손오공(주),2022. 05,2점,"""설립한지 오래된만큼 경력직이 다니기에는 안정적인 회사임""","직원들이 착함
일반 사원도 주차장 이용 가능
자기개발비","오래된 회사인만큼 고인물이 많아서 꼰스러운 분들이 있었으나
몇몇분은 퇴사한걸로 전해들어서 지금은 분위기가 좋다고 함
업무 난이도가 높지않아서 다니기는 괜찮지만
그만큼 자기발전이 힘듬
연봉낮음",딱히 없음.........................
2.6,손오공(주),2022. 02,3점,"""큰 욕심 없이 다닐 수 있는 곳입니다.
평범하게 회사생활 해보고 싶은 사람에게 추천해요""","자기계발비
주말/공휴일 근무 시 대체휴가
여름휴가 별도로 있음
구내식당운영","매우낮은연봉
연봉동결
반강제 주말/공휴일 업무(본인의 기존 업무랑 무관)","글쎄요. 딱히 바라는 바가 없네요
직장인에게 업무에 대한 타당한 보상은 규칙적인 연봉인상과 인센티브 인 것 같습니다."
2.6,손오공(주),2022. 02,2점,"""업계 1위 답게 대외적 영업 활동은 수월하나
고인물,텃세 많음. 휴일 근무가 잦음""","업계 1위 기업 답게 무난하게 영업 활동 가능
신제품 입점, 매출 어렵지 않게 갈 수 있음","영업은 주말,공휴일 근무 할 수 있음
특히 어린이날 크리스마스 근무 필수
행사 진열.철수가 밤늦게도 이뤄져서 몸이 매우 고단함","내부직원도 소중히 생각해주세요
휴일수당보다 워라벨 중요시 하는 직원도 많습니다"
2.6,손오공(주),2022. 02,3점,"""시즌마다 바쁘기는 하지만 무난하게 다닐만한 회사였다""","업계에서 유명하다보니 회사소개나 협의시 편했음.
식당에서 점심을 주니 휴식시간도 많았고...","딱히 발전할 방향이 보이지가 않음.
승진이나 연봉인상을 기대하기가 어려움",장기비전을 갖고 경영을 하시는게 좋을것 같습니다
